Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
18.900.000,Renault,Sandero,full equipo,2011,70.000 km,5,Gasolina,kho309,Gris,Mecánica,Hidráulica,nan,Sí,nan,nan
38.470.000,Renault,Sandero,SANDERO LIFE PLUS POLAR,2020,0 km,5,Gasolina,XXX000,Otro,Manual,Hidráulica,nan,nan,1600,4
20.900.000,Renault,Sandero,Dynamique,2011,127.600 km,5,Gasolina,KIV974,nan,Mecánica,nan,nan,nan,nan,nan
24.500.000,Renault,Sandero,Expression 45 Aniversario,2015,55.000 km,5,Gasolina,IAT 070,nan,Mecánica,Hidráulica,4x2,nan,nan,nan
15.900.000,Renault,Sandero,dynamique,2009,88.000 km,5,Gasolina,fhl130,nan,Mecánica,nan,nan,nan,nan,nan
22.500.000,Renault,Sandero,AUTENTHIQUE,2014,59.000 km,5,Gasolina,MXZ088,GRISESTRELLA,Mecánica,Hidráulica,4x2,nan,nan,nan
30.900.000,Renault,Sandero,"Dynamique, MT 1.6",2016,24.608 km,5,Gasolina,ISS716,Azul,Mecánica,Hidráulica,4x2,nan,nan,nan
24.900.000,Renault,Sandero,"Dynamique, MT 1.6",2012,112.000 km,5,Gasolina,DHY345,GrisBeige,Mecánica,Hidráulica,4x2,nan,nan,nan
38.800.000,Renault,Sandero,nan,2017,27.000 km,nan,nan,253,nan,Mecánica,nan,nan,nan,nan,nan
30.600.000,Renault,Sandero,Expression 1600 CC,2018,38.000 km,5,Gasolina,DSU-359,Gris,Mecánica,Hidráulica,4x2,Sí,nan,nan
28.900.000,Renault,Sandero,Expression 1600 CC,2017,54.500 km,5,Gasolina,IYP-189,Blanco,Mecánica,Hidráulica,4x2,nan,nan,nan
22.000.000,Renault,Sandero,SANDERO DYNAMIQUE 1600 CC,2011,75.000 km,5,Gasolina,BXW-379,Gris,Mecánica,Hidráulica,4x2,Sí,nan,nan
43.000.000,Renault,Sandero,Exclusive,2019,12.700 km,5,Gasolina,EOV439,Plata,Automática,Hidráulica,4x2,Sí,nan,nan
35.470.000,Renault,Sandero,Sandero Life,2020,0 km,5,Gasolina,XXX000,Beige,Mecánica,Hidráulica,nan,nan,1600,4
37.900.000,Renault,Sandero,"Exclusive, AT 1.6",2018,19.750 km,5,Gasolina,JJX640,GrisComet,Automática,Hidráulica,4x2,nan,nan,nan
