reference,image,location,price,model,mileage,link
Mitsubishi L300 4x2 ,https://http2.mlstatic.com/mitsubishi-l300-long-body-microbus-gas-gasolina-12-pasajero-D_NQ_NP_830224-MCO31141909107_062019-UB.jpg,Antioquia,4.500.000,1995,455500 km,https://articulo.tucarro.com.co/MCO-512276816-mitsubishi-l300-long-body-microbus-gas-gasolina-12-pasajero-_JM
Chevrolet Sail Ls Mt 1400cc Sa Ab ,https://http2.mlstatic.com/chevrolet-sail-ls-ca-D_NQ_NP_761488-MLA28097764856_092018-UB.jpg,Bogotá D.c.,35.265.000,2019,0 km,https://articulo.tucarro.com.co/MCO-483136804-chevrolet-sail-ls-ca-_JM
Kia Picanto Emotion ,https://http2.mlstatic.com/kia-picanto-motor-1000-all-new-modelo-2020-D_NQ_NP_935866-MCO31142174184_062019-UB.jpg,Bogotá D.c.,32.490.000,2020,0 km,https://articulo.tucarro.com.co/MCO-512722067-kia-picanto-motor-1000-all-new-modelo-2020-_JM
Toyota Fortuner Sw4 Street Diesel 4x2 2.4 ,https://http2.mlstatic.com/toyota-sw4-street-diesel-4x2-24-D_NQ_NP_683105-MCO29896660523_042019-UB.jpg,Bogotá D.c.,138.900.000,2019,0 km,https://articulo.tucarro.com.co/MCO-509361251-toyota-sw4-street-diesel-4x2-24-_JM
Chevrolet Cruze Cruze Lt Aut 1.8 ,https://http2.mlstatic.com/chevrolet-cruze-lt-aut-18-D_NQ_NP_745944-MCO30801287538_052019-UB.jpg,Bogotá D.c.,24.900.000,2011,74000 km,https://articulo.tucarro.com.co/MCO-515058298-chevrolet-cruze-lt-aut-18-_JM
Honda Cr-v Crv Lx ,https://http2.mlstatic.com/honda-cr-v-D_NQ_NP_638666-MCO28839063345_112018-UB.jpg,Bogotá D.c.,25.900.000,2007,156000 km,https://articulo.tucarro.com.co/MCO-510229179-honda-cr-v-_JM
Mazda Mazda 3 Grand Touring ,https://http2.mlstatic.com/mazda-3-sdn-gran-touring-2020-D_NQ_NP_921816-MLA27895762922_082018-UB.jpg,Bogotá D.c.,78.450.000,2020,0 km,https://articulo.tucarro.com.co/MCO-474045053-mazda-3-sdn-gran-touring-2020-_JM
Chevrolet Colorado Ltz 2.8 4*4 Mt ,https://http2.mlstatic.com/chevrolet-colorado-ltz-mt-3-anos-de-mantenimiento-D_NQ_NP_630948-MLA28096897622_092018-UB.jpg,Bogotá D.c.,130.548.000,2018,0 km,https://articulo.tucarro.com.co/MCO-483122557-chevrolet-colorado-ltz-mt-3-anos-de-mantenimiento-_JM
Chevrolet Luv D-max 2.5 Diesel ,https://http2.mlstatic.com/chevrolet-luv-d-max-4x2-diesel-estacas-D_NQ_NP_992703-MCO31142240150_062019-UB.jpg,Caldas,35.000.000,2008,196000 km,https://articulo.tucarro.com.co/MCO-506565677-chevrolet-luv-d-max-4x2-diesel-estacas-_JM
Hyundai Santa Fe Santafe Fe Gl Mt 2400cc 7psj 4x2 ,https://http2.mlstatic.com/hyundai-santafe-fe-gl-mt-2400cc-7psj-D_NQ_NP_908650-MCO30249164593_052019-UB.jpg,Bogotá D.c.,37.900.000,2011,82000 km,https://articulo.tucarro.com.co/MCO-511696887-hyundai-santafe-fe-gl-mt-2400cc-7psj-_JM
Kia Picanto Picanto ,https://http2.mlstatic.com/kia-picanto-D_NQ_NP_930566-MCO30726786456_052019-UB.jpg,Bogotá D.c.,20.500.000,2014,77000 km,https://articulo.tucarro.com.co/MCO-514516790-kia-picanto-_JM
Nissan X-trail Nissan X-trail Clasic ,https://http2.mlstatic.com/nissan-x-trail-clasic-4x4-D_NQ_NP_672916-MCO31183812355_062019-UB.jpg,Bogotá D.c.,32.800.000,2012,78000 km,https://articulo.tucarro.com.co/MCO-513381882-nissan-x-trail-clasic-4x4-_JM
Renault Sandero Stepway Zen ,nan,Bogotá D.c.,44.190.000,2020,0 km,https://articulo.tucarro.com.co/MCO-502107893-renault-stepway-zen-_JM
Chevrolet Aveo Emotion Gt Mt 1600 Cc 5p Aa 1ab ,nan,Valle Del Cauca,21.900.000,2012,65000 km,https://articulo.tucarro.com.co/MCO-509105206-chevrolet-aveo-emotion-gt-5p-2012-_JM
Bmw Serie 3 320 ,nan,Bogotá D.c.,29.990.000,2006,82000 km,https://articulo.tucarro.com.co/MCO-515104600-bmw-320-full-equipo-_JM
Nissan Pathfinder Le Premium At 4000cc Aa ,nan,Bogotá D.c.,36.900.000,2007,120000 km,https://articulo.tucarro.com.co/MCO-509595815-nissan-pathfinder-fe-7psj-_JM
Renault Twingo Dynamique ,nan,Bogotá D.c.,13.900.000,2012,61000 km,https://articulo.tucarro.com.co/MCO-512623602-renault-twingo-dynamique-16v-_JM
Ford Ecosport S Mt 2000cc 4x2 ,nan,Bogotá D.c.,35.999.999,2013,49000 km,https://articulo.tucarro.com.co/MCO-511718114-ford-ecosport-_JM
Ford Fiesta Hatchback Titanium At 1600cc ,nan,Bogotá D.c.,34.800.000,2015,38500 km,https://articulo.tucarro.com.co/MCO-510851560-ford-fiesta-_JM
Mazda Mazda 6 2.300 ,nan,Antioquia,17.800.000,2007,130000 km,https://articulo.tucarro.com.co/MCO-513909543-mazda-mazda-6-2300-_JM
Hyundai I10 I10 Gl ,nan,Bogotá D.c.,16.500.000,2013,115000 km,https://articulo.tucarro.com.co/MCO-510229160-hyundai-i10-_JM
Nissan Tiida Tiida Mio 1.8 Mt ,nan,Bogotá D.c.,18.900.000,2012,132000 km,https://articulo.tucarro.com.co/MCO-510229201-nissan-tiida-_JM
Hyundai Tucson Tucson ,nan,Bogotá D.c.,85.990.000,2019,0 km,https://articulo.tucarro.com.co/MCO-511652746-tucson-premium-2019-_JM
Chevrolet Sail Ls Mt 1.400cc Aa 2ab Fe ,nan,Bogotá D.c.,25.900.000,2017,28000 km,https://articulo.tucarro.com.co/MCO-512838287-sail-ls-1400cc-aa-_JM
Renault Logan Life ,nan,Bogotá D.c.,35.790.000,2020,0 km,https://articulo.tucarro.com.co/MCO-502107886-renault-logan-life-_JM
Chevrolet Captiva 2.4 Premium ,nan,Bogotá D.c.,28.700.000,2011,80000 km,https://articulo.tucarro.com.co/MCO-515518126-chevrolet-captiva-premium-2400cc-_JM
Renault Mégane Ii Expression ,nan,Bogotá D.c.,15.900.000,2008,127000 km,https://articulo.tucarro.com.co/MCO-511679307-renault-megane-ii-2000-_JM
Mercedes-benz Clase C Mercedes C200 ,nan,Bogotá D.c.,87.500.000,2015,8000 km,https://articulo.tucarro.com.co/MCO-512620390-mercedes-benz-clase-c-mercedes-c200-2015-_JM
Ford Ecosport 2.0 L Mt 2000cc 4x4 ,nan,Bogotá D.c.,25.900.000,2007,85000 km,https://articulo.tucarro.com.co/MCO-500363489-ford-ecosport-2007-4x4-_JM
Hyundai Accent Accent ,nan,Risaralda,9.500.000,2000,39878 km,https://articulo.tucarro.com.co/MCO-504615744-hyundai-accent-mot-15-mod-2000-_JM
Suzuki Ertiga Ertiga 1.4 Mt 7 Psj 4x2 ,nan,Bogotá D.c.,34.900.000,2015,59000 km,https://articulo.tucarro.com.co/MCO-515058925-suzuki-ertiga-14-mt-7-psj-_JM
Toyota Prado Tx Diesel Tp 3000 Cc 5p Td A.a Full Blindaje 2 Plus ,nan,Santander,149.800.000,2015,73930 km,https://articulo.tucarro.com.co/MCO-511461530-toyota-prado-tx-blindaje-2-plus-2015-diesel-7-puestos-4x4-_JM
"Chevrolet Sail Chevrolet Sail Ls , Unico Dueño ",nan,Bogotá D.c.,22.900.000,2016,50000 km,https://articulo.tucarro.com.co/MCO-516556367-chevrolet-sail-ls-1400-cc-unico-dueno-_JM
Toyota Rav4 2020 ,nan,Bogotá D.c.,109.000.000,2020,0 km,https://articulo.tucarro.com.co/MCO-507886087-toyota-rav4-2020-_JM
Kia Sportage 2.0 Mt 2000cc Ab ,nan,Bogotá D.c.,34.900.000,2014,117000 km,https://articulo.tucarro.com.co/MCO-510229151-kia-new-sportage-_JM
Nissan Frontier Frontier Np 300 Le Mt 2500cc 4x4 T ,nan,Bogotá D.c.,86.900.000,2016,56000 km,https://articulo.tucarro.com.co/MCO-511997001-nissan-frontier-np-300-le-2500-cc-mt-4x4-_JM
Renault Logan Expression Nd Mt 1600cc Aa ,nan,Antioquia,26.500.000,2017,54000 km,https://articulo.tucarro.com.co/MCO-513826435-renault-logan-_JM
Mazda Mazda 3 All New Sedan ,nan,Risaralda,28.500.000,2011,107228 km,https://articulo.tucarro.com.co/MCO-510625489-mazda-3-all-new-16-2011-tp-_JM
Ford Escape Escape Se ,nan,Bogotá D.c.,44.800.000,2013,70000 km,https://articulo.tucarro.com.co/MCO-514523600-ford-escape-20-cc-4x2-se-2013-_JM
Mazda Mazda 3 Sedan 1.6 Automático ,nan,Atlántico,18.500.000,2008,113223 km,https://articulo.tucarro.com.co/MCO-511560120-mazda-mazda-3-3z6na7-sedan-16-_JM
Chevrolet Equinox Premier /plan 50/50 Gratis Matricula Soat ,nan,Bogotá D.c.,115.796.000,2018,0 km,https://articulo.tucarro.com.co/MCO-483136805-chevrolet-equinox-premier-plan-5050-gratis-matricula-soat-_JM
Ford Fiesta Hatchback Se At 1600cc ,nan,Bogotá D.c.,31.500.000,2015,51000 km,https://articulo.tucarro.com.co/MCO-515653820-ford-fiesta-se-hatchback-at-1600-cc-_JM
Kia Cerato Forte Cerato Forte ,nan,Bogotá D.c.,27.200.000,2011,61330 km,https://articulo.tucarro.com.co/MCO-513249139-kia-cerato-forte-2011-cilindraje-16-coreano-_JM
Ford Fusión V6 Sel At 3000cc ,nan,Bogotá D.c.,24.400.000,2009,85000 km,https://articulo.tucarro.com.co/MCO-507913282-ford-fusion-v6-3000-cc-mt-_JM
Toyota Land Cruiser Fj 70 Japonés ,nan,Bogotá D.c.,27.000.000,1989,300000 km,https://articulo.tucarro.com.co/MCO-510811898-fj-70-japones-modelo-1989-pintura-nueva-llantas-nuevas-_JM
Hyundai Tucson All New Mt 2000 4x2 ,nan,Bogotá D.c.,65.900.000,2016,17000 km,https://articulo.tucarro.com.co/MCO-514889087-hyundai-tucson-all-new-mt-2000-4x2-_JM
Jeep Cherokee Laredo At 4000cc ,nan,Bogotá D.c.,10.900.000,1994,170000 km,https://articulo.tucarro.com.co/MCO-510229171-jeep-cherokee-_JM
