title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
BARI,Desde $ 179.808.000 Hasta $ 189.108.000,"64,11 m²",3,2,nan,"60,90m²","64,11m²",3,nan,nan,nan
Apartamento en Venta Bello paris,$ 83.000.000,"39,00 m²",2,1,nan,nan,"39,00m²",2,Menosde1año,2.128.205/m²,nan
Apartamento en Venta Bello cabañas,$ 230.000.000,"69,00 m²",3,2,1,"69,00m²","69,00m²",4,1a8años,3.333.333/m²,nan
NORDICA,Desde $ 138.850.000 Hasta $ 302.650.000,"36,00 a 82,00 m²",1,1,nan,"35,00a80,00m²","36,00a82,00m²",3,nan,nan,nan
Apartamento en Venta Bello prado,$ 202.508.000,"64,00 m²",3,2,1,"64,00m²","64,00m²",3,Menosde1año,3.164.188/m²,"$150,000"
Apartamento en Venta Bello Cabañas ,$ 245.000.000,"71,00 m²",3,2,1,"71,00m²","71,00m²",3,Menosde1año,3.450.704/m²,"$100,000"
Cerroclaro,Desde $ 127.599.999 Hasta $ 151.408.450,"54,30 m²",2,2,nan,"50,20m²","54,30m²",3,nan,nan,nan
Apartamento en Venta Bello NIQUIA,$ 170.000.000,"75,00 m²",2,2,nan,nan,"75,00m²",3,nan,2.266.667/m²,nan
MONTANA,Desde $ 562.600.000 Hasta $ 602.600.000,"126,14 m²",3,4,2,nan,"126,14m²",4,nan,nan,nan
NORDICA,Desde $ 138.850.000 Hasta $ 302.650.000,"36,00 a 82,00 m²",1,1,nan,"35,00a80,00m²","36,00a82,00m²",3,nan,nan,nan
Apartamento en Venta Bello cabañas,$ 187.000.000,"55,00 m²",3,2,1,"55,00m²","55,00m²",4,Menosde1año,3.400.000/m²,nan
Apartamento en Venta Bello Nórdica,$ 250.000.000,"60,00 m²",3,2,1,"60,00m²","60,00m²",3,1a8años,4.166.667/m²,nan
Apartamento en Venta Bello BELLO,$ 225.000.000,"62,00 m²",3,2,1,"62,00m²","62,00m²",4,Menosde1año,3.629.032/m²,nan
Apartamento en Venta Bello Santa Ana,$ 230.000.000,"62,00 m²",3,2,1,"62,00m²","62,00m²",4,Menosde1año,3.709.677/m²,"$140,000"
Cerroclaro,Desde $ 127.599.999 Hasta $ 151.408.450,"54,30 m²",2,2,nan,"50,20m²","54,30m²",3,nan,nan,nan
Apartamento en Venta Bello Santa Ana,$ 230.000.000,"62,00 m²",3,2,1,"62,00m²","62,00m²",4,Menosde1año,3.709.677/m²,"$140,000"
Florida Norteamerica,Desde $ 186.460.000 Hasta $ 260.000.000,"56,92 a 89,63 m²",3,2,nan,nan,"56,92a89,63m²",3,nan,nan,nan
NORDICA,Desde $ 138.850.000 Hasta $ 302.650.000,"36,00 a 82,00 m²",1,1,nan,"35,00a80,00m²","36,00a82,00m²",3,nan,nan,nan
Apartamento en Venta Bello BELLO,$ 182.000.000,"50,00 m²",2,2,1,"45,00m²","50,00m²",3,1a8años,3.640.000/m²,"$148,290"
Apartamento en Venta Bello APARTAESTUDIO ILUMINADO EN CABAÑAS,$ 80.000.000,"35,00 m²",1,1,nan,nan,"35,00m²",3,9a15años,2.285.714/m²,nan
Cerroclaro,Desde $ 127.599.999 Hasta $ 151.408.450,"54,30 m²",2,2,nan,"50,20m²","54,30m²",3,nan,nan,nan
