title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja fatima,$ 181.027.200,"55,00 m²",2,2,nan,"55,00m²","55,00m²",4,Menosde1año,3.291.404/m²,"$120,000"
Apartamento en Venta La Ceja LA CEJA,$ 235.000.000,"68,00 m²",3,2,1,nan,"68,00m²",nan,nan,3.455.882/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja la ceja,$ 210.000.000,"68,00 m²",2,2,1,"68,00m²","68,00m²",4,Menosde1año,3.088.235/m²,nan
Apartamento en Venta La Ceja La paz del Tambo,$ 138.000.000,"59,00 m²",3,2,nan,nan,"59,00m²",3,1a8años,2.338.983/m²,"$60,000E"
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja Circunvalar,$ 150.000.000,"56,00 m²",3,2,nan,"56,00m²","56,00m²",3,1a8años,2.678.571/m²,"$90,000E"
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Edificio El Encanto,Desde $ 149.000.000 Hasta $ 173.000.000,"79,00 a 89,00 m²",3,2,nan,nan,"79,00a89,00m²",3,nan,nan,nan
Apartamento en Venta La Ceja La Ceja,$ 155.000.000,"68,00 m²",3,2,nan,nan,"68,00m²",3,Menosde1año,2.279.412/m²,nan
Apartamento en Venta La Ceja La Ceja,$ 130.000.000,"58,00 m²",2,2,nan,nan,"58,00m²",3,Menosde1año,2.241.379/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja Mobilia,$ 187.000.000,"105,00 m²",3,2,nan,"105,00m²","105,00m²",3,Menosde1año,1.780.952/m²,nan
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja La ceja,$ 297.000.000,"90,00 m²",3,2,1,"90,00m²","90,00m²",4,1a8años,3.300.000/m²,"$200,000"
Apartamento en Venta La Ceja LA CEJA,$ 295.000.000,"76,00 m²",3,2,1,"76,00m²","76,00m²",4,Menosde1año,3.881.579/m²,"$200,000"
PORTONOVO,Desde $ 181.027.000 Hasta $ 285.632.000,"55,36 a 89,26 m²",2,2,nan,nan,"55,36a89,26m²",4,nan,nan,nan
Apartamento en Venta La Ceja Entrando a la Ceja,$ 280.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",4,1a8años,4.666.667/m²,"$178,000"
Apartamento en Venta La Ceja LA CEJA,$ 280.000.000,"79,00 m²",3,2,1,"79,00m²","79,00m²",4,Menosde1año,3.544.304/m²,"$210,000"
