title,price,surface,rooms,baths,garages,private area,builded area,estrato,antiquity,price m2,administration
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro EL Retiro,$ 255.000.000,"60,00 m²",2,2,1,nan,"60,00m²",4,Menosde1año,4.250.000/m²,"$120,000"
Apartamento en Venta El Retiro BOSQUES DE NORMANDIA,$ 275.000.000,"61,00 m²",2,2,1,nan,"61,00m²",5,1a8años,4.508.197/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro Pantanillo,$ 360.000.000,"87,00 m²",3,2,1,nan,"87,00m²",4,nan,4.137.931/m²,"$150,000"
Apartamento en Venta El Retiro Retiro Del Viento,$ 185.000.000,"54,00 m²",3,2,nan,"54,00m²","54,00m²",3,1a8años,3.425.926/m²,"$10,000E"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro Fizebad,$ 350.000.000,"67,00 m²",1,2,1,nan,"67,00m²",5,1a8años,5.223.881/m²,"$420,000"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro El retiro,$ 295.000.000,"65,00 m²",2,2,1,nan,"65,00m²",5,1a8años,4.538.462/m²,"$125,000"
Apartamento en Venta El Retiro El retiro,$ 325.000.000,"100,00 m²",2,2,1,nan,"100,00m²",5,1a8años,3.250.000/m²,"$150,000"
Apartamento en Venta El Retiro Fizebad,$ 330.000.000,"67,00 m²",1,2,1,"67,00m²","67,00m²",6,1a8años,4.925.373/m²,"$433,000"
Apartamento en Venta El Retiro EL RETIRO,$ 310.000.000,"60,00 m²",2,2,nan,"60,00m²","60,00m²",3,nan,5.166.667/m²,"$250,000"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 330.000.000,"87,00 m²",3,2,nan,nan,"87,00m²",4,nan,3.793.103/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro Pantanillo,$ 245.000.000,"57,00 m²",2,2,1,nan,"57,00m²",3,nan,4.298.246/m²,"$150,000"
Apartamento en Venta El Retiro EL RETIRO,$ 366.000.000,"85,00 m²",3,2,1,nan,"85,00m²",nan,nan,4.305.882/m²,"$230,000"
EXCLUSIVOS APARTAMENTOS EN RETIRO DEL VIENTO,$ 170.000.000,"54,00 m²",3,3,nan,nan,"54,00m²",3,nan,nan,nan
Apartamento en Venta El Retiro Oriente Antioqueño,$ 350.000.000,"72,00 m²",3,2,1,"72,00m²","72,00m²",5,nan,4.861.111/m²,"$150,000"
Apartamento en Venta El Retiro EL RETIRO,$ 610.000.000,"100,00 m²",2,2,2,"100,00m²","100,00m²",6,1a8años,6.100.000/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro Unidad Retiro Verde,$ 370.000.000,"70,00 m²",2,2,1,nan,"70,00m²",5,Menosde1año,5.285.714/m²,nan
Apartamento en Venta El Retiro Fizebad,$ 350.000.000,"86,00 m²",1,2,1,nan,"86,00m²",5,1a8años,4.069.767/m²,"$446,000"
EXCLUSIVOS APARTAMENTOS EN RETIRO DEL VIENTO,$ 170.000.000,"54,00 m²",3,3,nan,nan,"54,00m²",3,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 330.000.000,"73,00 m²",3,2,1,"73,00m²","73,00m²",4,Menosde1año,4.520.548/m²,"$150,000"
Apartamento en Venta El Retiro Zona Urbana,$ 290.000.000,"65,00 m²",2,2,1,nan,"65,00m²",4,nan,4.461.538/m²,nan
Apartamento en Venta El Retiro El Retiro,$ 175.000.000,"59,00 m²",2,1,nan,nan,"59,00m²",4,1a8años,2.966.102/m²,nan
Apartamento en Venta El Retiro Bosques de Normandia,$ 275.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",4,Menosde1año,4.583.333/m²,"$150,000"
Apartamento en Venta El Retiro EL RETIRO,$ 350.000.000,"76,00 m²",3,2,nan,"76,00m²","76,00m²",5,nan,4.605.263/m²,"$179,000"
Apartamento en Venta El Retiro EL RETIRO,$ 290.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",5,Menosde1año,4.833.333/m²,"$200,000"
Apartamento en Venta El Retiro El Retiro,$ 350.000.000,"66,00 m²",1,2,1,"62,00m²","66,00m²",5,1a8años,5.303.030/m²,"$430,000"
Apartamento en Venta El Retiro Via Don Diego La Ceja,$ 470.000.000,"75,00 m²",2,2,2,nan,"75,00m²",5,9a15años,6.266.667/m²,nan
Apartamento en Venta El Retiro El Retiro,$ 280.000.000,"60,00 m²",2,2,1,nan,"60,00m²",5,nan,4.666.667/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 315.000.000,"61,00 m²",2,2,1,nan,"61,00m²",4,Menosde1año,5.163.934/m²,nan
Apartamento en Venta El Retiro El Retiro,$ 320.000.000,"61,00 m²",2,2,1,nan,"61,00m²",5,nan,5.245.902/m²,"$150,000"
EXCLUSIVOS APARTAMENTOS EN RETIRO DEL VIENTO,$ 170.000.000,"54,00 m²",3,3,nan,nan,"54,00m²",3,nan,nan,nan
Apartamento en Venta El Retiro Carrizales,$ 300.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",5,1a8años,5.000.000/m²,nan
Apartamento en Venta El Retiro Parque,$ 305.000.000,"65,00 m²",2,2,1,nan,"65,00m²",4,1a8años,4.692.308/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 340.000.000,"86,00 m²",3,2,1,nan,"86,00m²",4,1a8años,3.953.488/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 405.000.000,"79,00 m²",2,2,2,nan,"79,00m²",5,Menosde1año,5.126.582/m²,nan
Apartamento en Venta El Retiro Bicentenario,$ 150.000.000,"60,00 m²",3,2,nan,"60,00m²","60,00m²",3,1a8años,2.500.000/m²,nan
Apartamento en Venta El Retiro Vía Pantanillo,$ 335.000.000,"77,37 m²",2,2,1,"77,00m²","77,37m²",3,Menosde1año,4.329.844/m²,"$250,000"
Apartamento en Venta El Retiro puro cuero,$ 350.000.000,"72,35 m²",3,2,1,"72,00m²","72,35m²",4,Menosde1año,4.837.595/m²,"$150,000"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 410.000.000,"80,00 m²",3,2,2,nan,"80,00m²",5,Menosde1año,5.125.000/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro Fizebad,$ 360.000.000,"66,10 m²",1,1,1,nan,"66,10m²",5,nan,5.446.293/m²,"$423,806"
Apartamento en Venta El Retiro Vía Pantanillo,$ 338.000.000,"77,37 m²",2,2,1,"77,00m²","77,37m²",3,Menosde1año,4.368.618/m²,"$250,000"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro VIA ,$ 360.000.000,"94,00 m²",3,2,1,"78,00m²","94,00m²",4,Menosde1año,3.829.787/m²,"$278,000"
Apartamento en Venta El Retiro EL RETIRO,$ 140.000.000,"54,00 m²",2,1,nan,"54,00m²","54,00m²",3,1a8años,2.592.593/m²,"$20,000E"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 325.000.000,"60,00 m²",2,2,1,"60,00m²","60,00m²",5,1a8años,5.416.667/m²,nan
Apartamento en Venta El Retiro EL RETIRO,$ 250.000.000,"78,00 m²",3,2,1,"78,00m²","78,00m²",5,1a8años,3.205.128/m²,"$200,000"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro El retiro,$ 290.000.000,"60,00 m²",2,2,1,nan,"60,00m²",5,Menosde1año,4.833.333/m²,"$180,000"
Apartamento en Venta El Retiro chagualos,$ 530.000.000,"107,00 m²",2,2,2,"107,00m²","107,00m²",5,Menosde1año,4.953.271/m²,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro El Retiro,$ 385.000.000,"76,00 m²",3,2,1,nan,"76,00m²",4,Menosde1año,5.065.789/m²,nan
Apartamento en Venta El Retiro Pempenao,$ 320.000.000,"60,00 m²",4,2,1,"60,00m²","60,00m²",4,Menosde1año,5.333.333/m²,"$200,000"
Apartamento en Venta El Retiro EL RETIRO,$ 385.000.000,"76,00 m²",3,2,1,"76,00m²","76,00m²",5,Menosde1año,5.065.789/m²,"$220,000"
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
AVANTI,Desde $ 239.687.000 Hasta $ 405.928.824,"47,50 a 79,57 m²",1,1,1,"46,34a76,76m²","47,50a79,57m²",4,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 610.000.000,"107,00 m²",2,2,2,"107,00m²","107,00m²",4,1a8años,5.700.935/m²,nan
Apartamento en Venta El Retiro El retiro,$ 305.000.000,"70,00 m²",2,2,1,"70,00m²","70,00m²",5,Menosde1año,4.357.143/m²,nan
Apartamento en Venta El Retiro Zona Urbana,$ 355.000.000,"82,00 m²",3,2,nan,"82,00m²","82,00m²",4,nan,4.329.268/m²,"$155,000"
Apartamento en Venta El Retiro El retiro la maria,$ 323.000.000,"77,00 m²",3,2,1,"77,00m²","77,00m²",C,1a8años,4.194.805/m²,"$170,000"
Apartamento en Venta El Retiro sierra grande,$ 585.000.000,"107,00 m²",2,3,2,"107,00m²","107,00m²",3,1a8años,5.467.290/m²,"$400,000"
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
Apartamento en Venta El Retiro EL RETIRO,$ 295.000.000,"67,00 m²",2,2,1,"79,00m²","67,00m²",4,1a8años,4.402.985/m²,"$180,000"
Apartamento en Venta El Retiro EL RETIRO,$ 265.000.000,"61,00 m²",2,2,1,"61,00m²","61,00m²",4,1a8años,4.344.262/m²,nan
Moka Apartamentos,Desde $ 390.000.000 Hasta $ 583.130.400,"76,00 a 118,00 m²",2,2,2,nan,"76,00a118,00m²",5,nan,nan,nan
